Date,Se-Jong,Cheon-An,Gong-Ju
2081-11-25,327284.0,959191,126720
2081-12-25,327357.0,959484,126754
2082-1-25,327430.0,959777,126788
2082-2-25,327504.0,960070,126822
2082-3-25,327578.0,960363,126856
2082-4-25,327652.0,960656,126890
2082-5-25,327726.0,960949,126924
2082-6-25,327800.0,961242,126958
2082-7-25,327874.0,961535,126992
2082-8-25,327948.0,961828,127026
2082-9-25,328022.0,962121,127060
2082-10-25,328096.0,962414,127094
2082-11-25,328170.0,962707,127128
2082-12-25,328244.0,963000,127162
2083-1-25,328318.0,963293,127196
2083-2-25,328392.0,963585,127230
2083-3-25,328466.0,963877,127264
2083-4-25,328540.0,964169,127298
2083-5-25,328614.0,964461,127332
2083-6-25,328688.0,964753,127366
2083-7-25,328762.0,965045,127400
2083-8-25,328836.0,965337,127434
2083-9-25,328910.0,965629,127468
2083-10-25,328984.0,965921,127502
2083-11-25,329058.0,966213,127536
2083-12-25,329132.0,966505,127570
2084-1-25,329206.0,966797,127604
2084-2-25,329280.0,967089,127638
2084-3-25,329354.0,967381,127672
2084-4-25,329428.0,967673,127706
2084-5-25,329502.0,967965,127740
2084-6-25,329576.0,968257,127774
2084-7-25,329650.0,968549,127808
2084-8-25,329725.0,968841,127842
2084-9-25,329800.0,969133,127876
2084-10-25,329875.0,969425,127910
2084-11-25,329950.0,969717,127944
